10,29,0.024451,0.217384,2
10,29,0.025574,0.118605,2
10,29,0.030641,0.358651,2
10,29,0.017187,0.196030,2
1000,29,0.210137,3.783936,1
100,29,0.029691,0.454151,1
100,29,0.037744,0.402494,1
100,29,0.039266,0.362725,1
100,29,0.034096,0.376281,1
5,29,0.015299,0.107704,1
5,29,0.018833,0.038635,1
5,29,0.019171,0.040279,1
5,29,0.019160,0.028206,1
5,29,0.014524,0.024161,1
5,29,0.018925,0.025464,1
5,29,0.016201,0.266559,10
5,29,0.017707,0.182390,10
500,29,0.039636,14.266763,10
500,29,0.698510,17.543959,10
10000,29,1.585740,234.133892,10
50000,29,5.556961,1091.442841,10
50000,29,2.027596,1104.148614,10
100000,29,6.318486,2209.938812,10
200000,29,11.909830,6343.447075,10
